date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:44:23	150289/150289	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202020%2001:44:29%20GMT	https://beth-tn103.trumsivietnam.com/	C:/My%20Web%20Sites/test/beth-tn103.trumsivietnam.com/index.html	(from )
08:44:23	22/22	---M--	200	added ('OK')	text/plain	date:Fri,%2003%20Jul%202020%2001:44:28%20GMT	https://beth-tn103.trumsivietnam.com/robots.txt		(from )
08:44:23	151071/151071	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2003%20Jul%202020%2001:44:29%20GMT	https://w.ladicdn.com/v2/source/ladipage.min.js?v=1593678971461	C:/My%20Web%20Sites/test/w.ladicdn.com/v2/source/ladipage.min2519.js	(from https://beth-tn103.trumsivietnam.com/)
08:44:26	307982/307982	---MCZ	200	added ('OK')	image/png	date:Fri,%2003%20Jul%202020%2001:44:30%20GMT	https://w.ladicdn.com/s400x400/5e918a050f308805077055fd/tn103_1-20200519082618.png	C:/My%20Web%20Sites/test/w.ladicdn.com/s400x400/5e918a050f308805077055fd/tn103_1-20200519082618.png	(from https://beth-tn103.trumsivietnam.com/)
08:44:26	323465/323465	---MCZ	200	added ('OK')	image/png	date:Fri,%2003%20Jul%202020%2001:44:29%20GMT	https://w.ladicdn.com/s800x850/5e918a050f308805077055fd/tn103_1-20200519082618.png	C:/My%20Web%20Sites/test/w.ladicdn.com/s800x850/5e918a050f308805077055fd/tn103_1-20200519082618.png	(from https://beth-tn103.trumsivietnam.com/)
08:44:26	435568/435568	---MCZ	200	added ('OK')	image/png	date:Fri,%2003%20Jul%202020%2001:44:30%20GMT	https://w.ladicdn.com/s800x850/5e918a050f308805077055fd/tn100-xmc-20200519095542.png	C:/My%20Web%20Sites/test/w.ladicdn.com/s800x850/5e918a050f308805077055fd/tn100-xmc-20200519095542.png	(from https://beth-tn103.trumsivietnam.com/)
08:44:27	319189/319189	---MCZ	200	added ('OK')	image/png	date:Fri,%2003%20Jul%202020%2001:44:31%20GMT	https://w.ladicdn.com/s400x400/5e918a050f308805077055fd/tn100-xmc-20200519095542.png	C:/My%20Web%20Sites/test/w.ladicdn.com/s400x400/5e918a050f308805077055fd/tn100-xmc-20200519095542.png	(from https://beth-tn103.trumsivietnam.com/)
08:44:29	314458/314458	---MCZ	200	added ('OK')	image/png	date:Fri,%2003%20Jul%202020%2001:44:32%20GMT	https://w.ladicdn.com/s400x400/5e918a050f308805077055fd/tn103_8-20200519095553.png	C:/My%20Web%20Sites/test/w.ladicdn.com/s400x400/5e918a050f308805077055fd/tn103_8-20200519095553.png	(from https://beth-tn103.trumsivietnam.com/)
08:44:30	354257/354257	---MCZ	200	added ('OK')	image/png	date:Fri,%2003%20Jul%202020%2001:44:33%20GMT	https://w.ladicdn.com/s800x850/5e918a050f308805077055fd/tn103_5-20200519095605.png	C:/My%20Web%20Sites/test/w.ladicdn.com/s800x850/5e918a050f308805077055fd/tn103_5-20200519095605.png	(from https://beth-tn103.trumsivietnam.com/)
08:44:30	461867/461867	---MCZ	200	added ('OK')	image/png	date:Fri,%2003%20Jul%202020%2001:44:32%20GMT	https://w.ladicdn.com/s800x850/5e918a050f308805077055fd/tn103_8-20200519095553.png	C:/My%20Web%20Sites/test/w.ladicdn.com/s800x850/5e918a050f308805077055fd/tn103_8-20200519095553.png	(from https://beth-tn103.trumsivietnam.com/)
